"filename", "language", "Markdown", "TypeScript", "C++", "Stylus", "Python", "JSON", "JavaScript", "Batch", "JSON with Comments", "YAML", "C", "Rust", "comment", "blank", "total"
"d:\Users\normalpcer\Documents\sync_code\ABC246G_Game_on_Tree_3.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 66
"d:\Users\normalpcer\Documents\sync_code\ABC246d_2_variable_Function.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"d:\Users\normalpcer\Documents\sync_code\ABC246e_Bishop_2.cpp", "C++", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 66
"d:\Users\normalpcer\Documents\sync_code\ABC246f_typewriter.cpp", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
"d:\Users\normalpcer\Documents\sync_code\ABC249c_Just_K.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 44
"d:\Users\normalpcer\Documents\sync_code\ABC249d_Index_Trio.cpp", "C++", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 131
"d:\Users\normalpcer\Documents\sync_code\ABC249e_RLE.cpp", "C++", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 10, 93
"d:\Users\normalpcer\Documents\sync_code\ABC249f_Ignore_Operations.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 10, 81
"d:\Users\normalpcer\Documents\sync_code\ABC253e_Distance_Sequence.cpp", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"d:\Users\normalpcer\Documents\sync_code\ABC253f_Operations_on_a_Matrix.cpp", "C++", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 105
"d:\Users\normalpcer\Documents\sync_code\ABC253g_Swap_Many_Times.cpp", "C++", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 70
"d:\Users\normalpcer\Documents\sync_code\ABC261d_Flipping_and_Bonus.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 62
"d:\Users\normalpcer\Documents\sync_code\ABC261e.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 98
"d:\Users\normalpcer\Documents\sync_code\ABC261e_Many_Operations.cpp", "C++", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 85
"d:\Users\normalpcer\Documents\sync_code\ABC261e_Many_Operations_optimize.cpp", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 62
"d:\Users\normalpcer\Documents\sync_code\ABC261f_Sorting_Color_Balls.cpp", "C++", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 90
"d:\Users\normalpcer\Documents\sync_code\ABC264E_Blackout_2.cpp", "C++", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 80
"d:\Users\normalpcer\Documents\sync_code\ABC264c_Matrix_Reducing.cpp", "C++", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 99
"d:\Users\normalpcer\Documents\sync_code\ABC264d__redocta_.swap_i_i+1.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 39
"d:\Users\normalpcer\Documents\sync_code\ABC264f_Monochromatic_Path.cpp", "C++", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 104
"d:\Users\normalpcer\Documents\sync_code\ABC267f_Exactly_K_Steps.cpp", "C++", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 174
"d:\Users\normalpcer\Documents\sync_code\ABC268G_Random_Student_ID.cpp", "C++", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 92
"d:\Users\normalpcer\Documents\sync_code\ABC268c_Chinese_Restaurant.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 47
"d:\Users\normalpcer\Documents\sync_code\ABC268d_Unique_Username.cpp", "C++", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 87
"d:\Users\normalpcer\Documents\sync_code\ABC268e_Chinese_Restaurant_(Three_Star_Version).cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 13, 91
"d:\Users\normalpcer\Documents\sync_code\ABC268f_Best_Concatenation.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 73
"d:\Users\normalpcer\Documents\sync_code\ABC269B_Rectangle_Detection.cpp", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"d:\Users\normalpcer\Documents\sync_code\ABC269G_Reversible_Cards_2.cpp", "C++", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 90
